 x, y, z, yaw
107.1107, -202.8856, 1.4622, 0.0686
107.6595, -202.8478, 1.4743, 0.0686
108.2497, -202.8071, 1.4874, 0.0686
108.8788, -202.7638, 1.5014, 0.0686
109.5567, -202.7172, 1.5165, 0.0686
110.2078, -202.6723, 1.5310, 0.0686
110.8817, -202.6259, 1.5460, 0.0686
111.5851, -202.5775, 1.5616, 0.0686
112.4520, -202.5178, 1.5809, 0.0686
113.2986, -202.4595, 1.5998, 0.0687
114.1720, -202.3994, 1.6192, 0.0687
115.0785, -202.3370, 1.6394, 0.0687
116.0589, -202.2695, 1.6612, 0.0687
116.9363, -202.2090, 1.6807, 0.0687
117.4635, -202.1727, 1.6925, 0.0687
118.4317, -202.1100, 1.7140, 0.0650
119.4507, -202.0936, 1.7367, 0.0235
119.9863, -202.1227, 1.7487, -0.0197
120.5102, -202.1785, 1.7604, -0.0709
121.5266, -202.3445, 1.7830, -0.1630
122.0258, -202.4429, 1.7940, -0.1942
122.5704, -202.5562, 1.8061, -0.2154
123.1064, -202.6712, 1.8180, -0.2258
123.6647, -202.7905, 1.8305, -0.2268
124.2112, -202.8967, 1.8426, -0.2142
124.7574, -202.9851, 1.8548, -0.1875
125.3469, -203.0579, 1.8679, -0.1473
125.9783, -203.1153, 1.8819, -0.1029
126.6799, -203.1626, 1.8975, -0.0630
127.1921, -203.1911, 1.9089, -0.0439
127.8563, -203.2238, 1.9237, -0.0305
128.5612, -203.2522, 1.9394, -0.0238
129.1135, -203.2706, 1.9516, -0.0212
129.7551, -203.2889, 1.9659, -0.0196
130.4028, -203.3050, 1.9803, -0.0187
131.0522, -203.3195, 1.9948, -0.0183
131.6944, -203.3328, 2.0091, -0.0181
132.2544, -203.3439, 2.0215, -0.0180
132.8385, -203.3550, 2.0345, -0.0179
133.4127, -203.3658, 2.0473, -0.0179
134.1450, -203.3792, 2.0636, -0.0178
134.8999, -203.3929, 2.0804, -0.0178
135.6749, -203.4069, 2.0976, -0.0178
136.3064, -203.4182, 2.1117, -0.0178
136.9780, -203.4302, 2.1266, -0.0178
137.8173, -203.4452, 2.1453, -0.0178
138.4049, -203.4557, 2.1584, -0.0178
139.1254, -203.4685, 2.1744, -0.0178
139.8652, -203.4817, 2.1909, -0.0178
140.5241, -203.4935, 2.2055, -0.0178
141.2295, -203.5060, 2.2212, -0.0178
141.9805, -203.5194, 2.2379, -0.0178
142.7165, -203.5325, 2.2543, -0.0178
143.4647, -203.5458, 2.2710, -0.0178
144.2520, -203.5599, 2.2885, -0.0178
144.9859, -203.5729, 2.3048, -0.0178
145.7627, -203.5868, 2.3221, -0.0178
146.5618, -203.6010, 2.3399, -0.0178
147.2650, -203.6135, 2.3555, -0.0178
148.0116, -203.6268, 2.3721, -0.0178
148.6651, -203.6385, 2.3867, -0.0178
149.5902, -203.6550, 2.4072, -0.0178
150.4829, -203.6709, 2.4271, -0.0178
151.2168, -203.6839, 2.4434, -0.0178
152.1789, -203.7011, 2.4648, -0.0178
152.8861, -203.7137, 2.4806, -0.0178
153.8994, -203.7317, 2.5035, -0.0178
154.6744, -203.7455, 2.5205, -0.0178
155.5556, -203.7612, 2.5395, -0.0178
156.5165, -203.7783, 2.5608, -0.0178
157.3429, -203.7930, 2.5795, -0.0178
158.1931, -203.8082, 2.5977, -0.0178
159.0886, -203.8241, 2.6168, -0.0178
159.9379, -203.8393, 2.6357, -0.0178
160.8446, -203.8556, 2.6551, -0.0178
161.6885, -203.8706, 2.6727, -0.0178
162.4873, -203.8817, 2.6898, -0.0147
163.1895, -203.8831, 2.7040, -0.0050
164.0397, -203.8689, 2.7199, 0.0185
164.8541, -203.8341, 2.7349, 0.0527
165.6685, -203.7780, 2.7496, 0.0937
166.5831, -203.6925, 2.7641, 0.1401
167.3807, -203.6012, 2.7758, 0.1748
168.4330, -203.4605, 2.7902, 0.2072
169.2102, -203.3408, 2.7995, 0.2235
170.2267, -203.1634, 2.8101, 0.2383
171.1190, -202.9893, 2.8188, 0.2467
171.9357, -202.8170, 2.8256, 0.2520
172.7946, -202.6245, 2.8314, 0.2557
173.6481, -202.4235, 2.8364, 0.2581
174.5634, -202.1998, 2.8404, 0.2598
175.5104, -201.9617, 2.8432, 0.2608
176.3455, -201.7474, 2.8446, 0.2614
177.1845, -201.5291, 2.8452, 0.2617
178.0143, -201.3110, 2.8447, 0.2619
178.8429, -201.0918, 2.8431, 0.2621
179.5978, -200.8911, 2.8408, 0.2621
180.2487, -200.7176, 2.8383, 0.2622
181.1791, -200.4689, 2.8334, 0.2622
182.0721, -200.2299, 2.8277, 0.2622
182.9260, -200.0011, 2.8209, 0.2622
183.7879, -199.7701, 2.8129, 0.2622
184.4691, -199.5873, 2.8060, 0.2622
185.3065, -199.3627, 2.7964, 0.2622
186.1391, -199.1393, 2.7857, 0.2623
186.9454, -198.9229, 2.7743, 0.2623
187.7125, -198.7169, 2.7629, 0.2623
188.5069, -198.5036, 2.7503, 0.2623
189.1533, -198.3300, 2.7398, 0.2623
189.9719, -198.1103, 2.7248, 0.2623
190.8194, -197.8826, 2.7088, 0.2623
